Основное средство;Инвентарный номер;Подразделение;Дата принятия к учету
"Периметр для определения поля зрения ""Centerfield 2"" (СПБ)";СПБ000994;СПБ Хирургическое отделение;30.10.2013
"Стол общехирургический ""ОК - Гамма - 03""";СПБ000948;СПБ Хирургическое отделение;26.07.2012
Монитор NDS для визуализации в хирургии EndoVue 19;БП-001031;СПБ Хирургическое отделение;01.04.2023
GIN plus EURO;БП-000309;СПБ Хирургическое отделение;22.08.2022
Стерилизатор кассетный Stafim 2000S;СПБ001046;СПБ Хирургическое отделение;27.11.2018
Аппарат ЭХВЧ-300-01 Эндомедиум+, мод.0202-1, 100Вт (комплект для гинекологии);УПК006426;СПБ Хирургическое отделение;25.06.2013
Ларингоскоп диаметр 10мм, 90 град., длина 195 мм, без световода;СПБ000822;СПБ Хирургическое отделение;25.01.2011
Аппарат ЭХВЧ-300-01 Эндомедиум+, мод.0202-1, 100Вт (комплект для гинекологии);УПК006427;СПБ Хирургическое отделение;25.06.2013
Аппарат ЭХВЧ-300-01 Эндомедиум+, мод.0202-1, 100Вт (комплект для гинекологии);УПК006429;СПБ Хирургическое отделение;04.09.2015
Монитор фетальный Sonicaid TEAM с модулем печати и анализа Care с принадлежностями ;УПК006436;СПБ Хирургическое отделение;10.06.2013
Установка для мойки гибких эндоскопов серии Bandeq, модели  CYW-501 с принадлежностями;БП-000198;СПБ Хирургическое отделение;30.04.2022
Коагулятор хирургический, модель RF-Magic II;УПК008051;СПБ Хирургическое отделение;31.07.2019
"Аппарат лазерный хирургический ""Ланцет-2""";ЦБД002378;СПБ Хирургическое отделение;30.04.2009
Установка ультразвуковая диагностическая медицинская Logiq Book XP ;ЦБД002374;СПБ Хирургическое отделение;30.04.2009
Видеоколоноскоп Pentax EС-380Lkp;УПК006458;СПБ Хирургическое отделение;10.06.2013
Установка для мойки гибких эндоскопов серии Bandeq, модели  CYW-501 с принадлежностями;УПК006500;СПБ Хирургическое отделение;10.06.2013
Эндоскоп 4мм, 0 град., 50мм;УПК006517;СПБ Хирургическое отделение;04.09.2015
"Видеоколоноскоп PENTAX EC-3890FK2 с принадлежностями, ""ХОЯ Корпорейшн"", Япония";БП-000873;СПБ Хирургическое отделение;30.11.2022
Помпа подачи воды JW-2 к гибким эндоскопам;БП-000151;СПБ Хирургическое отделение;11.03.2022
Мониторы для визуализации в хирургии  Radiance, вариант исполнения Radiance Ultra 27;БП-000150;СПБ Хирургическое отделение;11.03.2022
Гастроскоп EG-530WR;БП-000149;СПБ Хирургическое отделение;11.03.2022
Гастроскоп EG-530WR;БП-000148;СПБ Хирургическое отделение;11.03.2022
Офтальмоскоп налобный бинокулярный НБО-3-01;УПК008046;СПБ Хирургическое отделение;31.07.2019
Набор инструментов для жесткой цистоскопии;УПК008045;СПБ Хирургическое отделение;31.07.2019
Набор инструментов для гибкой цистоскопии;УПК008044;СПБ Хирургическое отделение;31.07.2019
"Сфинктерометр СФ-01 (""Гастроскан-СФ"")";УПК008040;СПБ Хирургическое отделение;31.07.2019
Планарно-радиальный пьезоисточник ударных волн (FP4) Диапазон давления в фокусе 0,1-3,2 Мпа Глубина;УПК008037;СПБ Хирургическое отделение;31.07.2019
Аппарат для ударно-волновой т-и Piezo Wave в комплекте;УПК008032;СПБ Хирургическое отделение;31.07.2019
Кресло гинекологическое КГМ-3П;УПК006003;СПБ Хирургическое отделение;19.12.2012
"Стол общехирургический ""ОК - Гамма - 03"" СПБ";УПК006011;СПБ Хирургическое отделение;19.12.2012
Установка ультрозвуковая диагностическая медицинская Logiq Book XP с принадлежностями;УПК006012;СПБ Хирургическое отделение;19.12.2012
Кольпоскоп МК-200;БП-001317;СПБ Хирургическое отделение;19.01.2024
Набор очковых линз TLS-AF TOPCON;УПК006123;СПБ Хирургическое отделение;04.09.2015
"Аппарат ультразвуковой хирургический кавитационный ""Фотек"", модель ""Action-A""";БП-001333;СПБ Хирургическое отделение;28.02.2024
Кресло гинекологическое КГМ-3П;ЦБД002372;СПБ Хирургическое отделение;30.04.2009
Камера немидриатическая ретинальная модель TRC-NW300;УПК006107;СПБ Хирургическое отделение;19.12.2012
Кресло гинекологическое КГМ-3П;ЦБД002356;СПБ Хирургическое отделение;30.04.2009
Автокераторефрактометр KR-8800;ЦБД002211;СПБ Хирургическое отделение;30.04.2009
Кресло гинекологическое КГМ-3П;ЦБД002411;СПБ Хирургическое отделение;30.04.2009
Набор пробных очковых линз TLS-AF с принадлежностями Нов-к;НСК000066;СПБ Хирургическое отделение;04.11.2011
Кольпоскоп МК-200 с принадлежностями;БП-000020;СПБ Хирургическое отделение;06.10.2021
Кольпоскоп МК-200 с принадлежностями;БП-000019;СПБ Хирургическое отделение;06.10.2021
Прибор для упаковки медицинских изделий методом термосварки hm 850 DC-V (арт.0,617,293);БП-000018;СПБ Хирургическое отделение;06.10.2021
Датчик УЗИ б/у Е8С-RS для LogiqBook;СПБ001028;СПБ Хирургическое отделение;21.08.2017
Стерилизатор паровой СПГА-100-1-НН;БП-000926;СПБ Хирургическое отделение;26.12.2022
Шкаф для хранения стерильных эндоскопов СПДС-2-ШСК;СПБ001027;СПБ Хирургическое отделение;21.08.2017
Кресло медицинское (ЛОР) модели  ATMOS Сhair E2, Atmos, Германия;СПБ000818;СПБ Хирургическое отделение;25.01.2011
Установка отоларингологическая С31;СПБ000817;СПБ Хирургическое отделение;25.01.2011
Фиброгастроскоп FG-29V;УПК007427;СПБ Хирургическое отделение;30.11.2016
Урофлоуметр УФМ-01 Яровит;УПК007855;СПБ Хирургическое отделение;31.05.2019
Эндоскоп-ларингоскоп 10мм, 90 град., 174мм;УПК006514;СПБ Хирургическое отделение;04.09.2015
"Аппарат  ЭХВЧ-80-03 ""ФОТЕК""";УПК007846;СПБ Хирургическое отделение;31.05.2019
Установка отоларингологическая С31 Economy с принадлежностями;УПК006054;СПБ Хирургическое отделение;19.12.2012
Тонометр бесконтактный REICHERT 7 США;УПК006052;СПБ Хирургическое отделение;19.12.2012
"Аппарат  ЭХВЧ-80-03 ""ФОТЕК"" с набором для проктологии";УПК007845;СПБ Хирургическое отделение;31.05.2019
Система ультразвуковая диагностическая медицинская LOGIQ, р5;ЦБД003090;СПБ Хирургическое отделение;01.12.2009
Кресло медицинское ATMOS Chair E2;УПК006042;СПБ Хирургическое отделение;19.12.2012
Аппарат  радиохирургический RFS-3800К спринадлежностями;УПК007844;СПБ Хирургическое отделение;31.05.2019
Установка ультрозвуковая диагностическая медицинская Logiq Book XP с принадлежностями;УПК006705;СПБ Хирургическое отделение;30.04.2013
Насос жидкостной типа HPS (эндоирригатор для ирригации и аспирации жидкости);СПБ000783;СПБ Хирургическое отделение;25.10.2010
Импедансометр автоматический GSI39;УПК006039;СПБ Хирургическое отделение;19.12.2012
Система ультразвуковая диагностическая медицинская LOGIQ, модель P5 с принадлежностями;ЦБД001925;СПБ Хирургическое отделение;30.04.2009
Кресло гинекологическое КГМ-3П;СПБ000720;СПБ Хирургическое отделение;26.07.2010
Системный блок Hightech (i5-12400/MSI PRO H610M-G/DDR4 16GB/SSD М.2 256GB/mATX/300W/Wi Fi USB+K/M);БП-001547;СПБ Хирургическое отделение;29.11.2024
Гастроскоп PENTAX модели EG-2990K с принадлежностями 2,8мм/9,8мм;УПК008088;СПБ Хирургическое отделение;12.10.2019
Автоклав паровой настольный серии М (модели 3870 М);УПК006030;СПБ Хирургическое отделение;19.12.2012
Шкаф для хранения стерильных эндоскопов СПДС-2-Ш;БП-001432;СПБ Хирургическое отделение;05.09.2024
Видеокамера эндоскопическая вариант исполнения Tele Pack;СПБ000967;СПБ Хирургическое отделение;18.04.2013
Лампа щелевая офтальмологическая SL-2G производства фирмы Topcon Corporation;БП-000386;СПБ Хирургическое отделение;07.11.2022
Стол операционный унивесальный медицинский ОУ-01К;СРТ000640;СПБ Хирургическое отделение;01.04.2009
Система диагностическая ультразвуковая XARIO SSA-660A c принадлежностями;СПБ000894;СПБ Хирургическое отделение;05.04.2011
Стойка регистратуры на 2 рабочих места (2600х800х1200);БП-000081;УК Администрация;31.12.2021
МФУ Xerox 5740 с устройством подборки в комплекте;УПК005597;УК Медицинский архив;31.03.2012
Устройство видеонаблюдения, охранной сигнализации, видеодомофона, контроля доступа;УПК006926;УК Отдел информационных технологий;06.08.2013
Коммутатор Huawei S5720-36C-EI bundle (28*10/100/1000BASE-T ports, 4 of which are 10/100/1000BASE-T+;УПК008239;УК Отдел информационных технологий;26.10.2020
Компьютер HP Bundles 290 G4 MT Intel Core i5 10500(3.1Ghz)/16384Mb/512SSDGb/noDVD/war 1y/DOS + Monit;БП-000263;УК Отдел информационных технологий;06.07.2022
Компьютер HP Bundles 290 G4 MT Intel Core i5 10500(3.1Ghz)/16384Mb/512SSDGb/noDVD/war 1y/DOS + Monit;БП-000265;УК Отдел информационных технологий;06.07.2022
Маршрутизатор 20xGE FG-100E;БП-000172;УК Отдел информационных технологий;31.03.2022
Компьютер HP Bundles 290 G4 MT Intel Core i5 10500(3.1Ghz)/16384Mb/512SSDGb/noDVD/war 1y/DOS + Monit;БП-000262;УК Отдел информационных технологий;06.07.2022
Маршрутизатор 3200 Next Generation Threat Prevention Appliance;УПК008112;УК Отдел информационных технологий;15.03.2020
Компьютер HP Bundles 290 G4 MT Intel Core i5 10500(3.1Ghz)/16384Mb/512SSDGb/noDVD/war 1y/DOS + Monit;БП-000264;УК Отдел информационных технологий;06.07.2022
Коммутатор Ethernet MES2324P, 24 порта 10/100/1000;БП-000858;УК Отдел информационных технологий;28.10.2022
Маршрутизатор 20xGE FG-100E;БП-000165;УК Отдел информационных технологий;31.03.2022
Маршрутизатор 20xGE FG-100E;БП-000164;УК Отдел информационных технологий;31.03.2022
"Ноутбук DELL XPS 13 7390 (Intel Core i7 10510U 1800 MHz/13.3""/16GB/512GB SSD + Win 10 Pro";УПК008114;УК Отдел информационных технологий;01.03.2020
Персональный компьютер HP 290 G4 MT Intel Core i5 10500(3.1Ghz)/8192Mb/256PCISSDGb/noDVD/WiFi/wa r 1;БП-000258;УК Отдел информационных технологий;06.07.2022
Маршрутизатор 5400 Next Generation Threat Prevention Appliance НА;УПК007777;УК Отдел информационных технологий;10.04.2019
Персональный компьютер HP 290 G4 MT Intel Core i5 10500(3.1Ghz)/8192Mb/256PCISSDGb/noDVD/WiFi/wa r 1;БП-000257;УК Отдел информационных технологий;06.07.2022
Коммутатор Huawei S6720-30C-EI-24S-AC;БП-001295;УК Отдел информационных технологий;18.01.2024
ПК Forsys в составе: CPU i7-12700/PRIME Z690-p Wi-FI/DDR5 32Gb (16Gbx2) 4800MHz/nVidia RTX3070 Turbo;БП-001296;УК Отдел информационных технологий;18.01.2024
Персональный компьютер HP 290 G4 MT Intel Core i5 10500(3.1Ghz)/8192Mb/256PCISSDGb/noDVD/WiFi/wa r 1;БП-000256;УК Отдел информационных технологий;06.07.2022
Персональный компьютер HP 290 G4 MT Intel Core i5 10500(3.1Ghz)/8192Mb/256PCISSDGb/noDVD/WiFi/wa r 1;БП-000255;УК Отдел информационных технологий;06.07.2022
Персональный компьютер HP 290 G4 MT Intel Core i5 10500(3.1Ghz)/8192Mb/256PCISSDGb/noDVD/WiFi/wa r 1;БП-000254;УК Отдел информационных технологий;06.07.2022
Маршрутизатор 5200 Next Generation Threat Prevention Appliance НА;УПК007866;УК Отдел информационных технологий;11.06.2019
ПК AYRTON в составе: корпус midiTower 2xUSB3.0 audio / БП 850 Вт Gold / CPU i7 12700 c кулером / MB;БП-001298;УК Отдел информационных технологий;19.01.2024
Персональный компьютер HP 290 G4 MT Intel Core i5 10500(3.1Ghz)/8192Mb/256PCISSDGb/noDVD/WiFi/wa r 1;БП-000253;УК Отдел информационных технологий;06.07.2022
Маршрутизатор MikroTik Cloud Core Router 1016-12S-1S+, Tilera Tile-Gx16 CPU(16-cores, 1.2Ghz per co;БП-000857;УК Отдел информационных технологий;28.10.2022
Коммутатор Huawei S6720-30C-EI-24S-AC;БП-000868;УК Отдел информационных технологий;28.11.2022
Персональный компьютер HP 290 G4 MT Intel Core i5 10500(3.1Ghz)/8192Mb/256PCISSDGb/noDVD/WiFi/wa r 1;БП-000259;УК Отдел информационных технологий;06.07.2022
Маршрутизатор 5200 Next Generation Threat Prevention Appliance;УПК007865;УК Отдел информационных технологий;11.06.2019
Принтер лазерный Canon i-Sensys LBP246DW (5952C006) A4 Duplex WiFi белый;БП-001447;УК Отдел технической поддержки;30.09.2024
Принтер лазерный Canon i-Sensys LBP246DW (5952C006) A4 Duplex WiFi белый;БП-001448;УК Отдел технической поддержки;30.09.2024
Принтер лазерный Canon i-Sensys LBP246DW (5952C006) A4 Duplex WiFi белый;БП-001449;УК Отдел технической поддержки;30.09.2024
JAZZTEL Quadro CAM - Видеобар для конференций с микр.массивом на 4 микрофона;БП-001376;УК Отдел технической поддержки;08.05.2024
Принтер лазерный Canon i-Sensys LBP246DW (5952C006) A4 Duplex WiFi белый;БП-001446;УК Отдел технической поддержки;30.09.2024
Кондиционер Panasonic Free multi U-4E23 JBE;УПК008320;УК Отдел эксплуатации и технического обслуживания зданий и сооружений;15.12.2020
Кондиционер Panasonic Free multi U-4E23 JBE;УПК008318;УК Отдел эксплуатации и технического обслуживания зданий и сооружений;15.12.2020
Кондиционер Panasonic Free multi U-4E23 JBE;УПК008319;УК Отдел эксплуатации и технического обслуживания зданий и сооружений;15.12.2020
Кондиционер Panasonic Free multi U-4E23 JBE;УПК008317;УК Отдел эксплуатации и технического обслуживания зданий и сооружений;15.12.2020
Кресло Ritter 641;УПК004006;УК Проектный офис;14.10.2010
Концентратор кислорода LF-H-10A;УПК005698;УК Сервисный отдел;26.04.2012
Колоноскоп EC-600WL;БП-000157;УК Сервисный отдел;16.03.2022
Гастроскоп EG-530WR;УПК008383;УК Сервисный отдел;31.05.2021
Колоноскоп FUJNON модели EС-250WL5 с принадлежностями;КЗН000083;УК Сервисный отдел;03.08.2011
Автомобиль PEUGEOT BOXER Fg TI 330 L2H2 2.2HDI МКП6 (120hp), VF3YAMBFB12157212;УПК005582;УК Транспортный отдел;29.02.2012
Автомобиль PEUGEOT BOXER, С 312 АВ 197;УПК002486;УК Транспортный отдел;03.06.2010
Автомобиль Nissan TIIDA VIN 3N1ВСАС11UК572968;УПК006784;УК Транспортный отдел;17.01.2013
"Автомобиль ФОРД ""Фокус"" М193УТ199";УПК005272;УК Транспортный отдел;04.05.2011
Автомобиль Nissan TIIDA VIN 3N1ВСАС11UК572253;УПК006737;УК Транспортный отдел;06.12.2012
Автомобиль Nissan TIIDA VIN 3N1ВСАС11UК581075;УПК006965;УК Транспортный отдел;29.10.2013
Автомобиль Nissan TIIDA VIN 3N1BCAC11UK563308;УПК005971;УК Транспортный отдел;05.07.2012
Автомобиль Nissan TIIDA VIN 3N1ВСАС11UК574914,К825НО77;УПК006797;УК Транспортный отдел;20.02.2013
Автомобиль Nissan TIIDA VIN 3N1ВСАС11UК571800;УПК006735;УК Транспортный отдел;06.12.2012
Автомобиль Nissan TIIDA VIN 3N1ВСАС11UК573293, К722НО077;УПК006796;УК Транспортный отдел;19.02.2013
Автомобиль LADA GRANTA ВИС с изотерм. фургоном холод. уст.  VIN X6D234900P0921068;БП-001174;УК Транспортный отдел;10.08.2023
Кондиционер Mitsubishi Electric MS-GF80VA/MU-GF80VA настенный;БП-000080;УК Управление информационных технологий;31.12.2021
Система мониторирования ЭКГ MARS с принадлежностями;УПК006613;УК Центральный склад;30.04.2013
Кресло медицинское LOJER 6801 с принадлежностями;УПК008256;УК Центральный склад;26.11.2020
Автоклав паровой настольный Tuttnauer серии М (модели 3870 М) со столом метллич. 800*800*750;УПК005600;УК Центральный склад;18.04.2012
Автоклав паровой настольный Tuttnauer серии М (модели 3870 М) со столом метллич. 800*800*750;УПК007292;УК Центральный склад;18.01.2016
"Аппарат электрохирургический высокочастотный ЭХВЧ-300-01 ""ЭФА"", мод.0202-1, 100Вт";УПК005659;УК Центральный склад;28.04.2012
Система мониторирования ЭКГ MARS с принадлежностями;УПК006614;УК Центральный склад;04.09.2015
Климатическая камера (б/у) из пластиковых сандвич-панелей;УПК007009;УК Центральный склад;11.04.2014
Электропогрузчик NICHIYU FBT15 80;УПК007457;УК Центральный склад;19.01.2017
Электропогрузчик EB687;УПК006330;УК Центральный склад;29.10.2012
Автоклав паровой настольный Tuttnauer серии М (модели 3870 М) со столом метллич. 800*800*750;НСК000164;УК Центральный склад;19.01.2012
"Информационный терминал UTSInfoTable 32""";УПК007518;УК Центральный склад;05.09.2017
Автоклав паровой настольный Tuttnauer серии М (модели 3870 М);УПК006351;УК Центральный склад;10.06.2013
Кольпоскоп МК-200 с цифровой видеосистемой;УПК007088;УК Центральный склад;10.12.2014
Видеопроцессор медели EXP-2200;УФА000139;УК Центральный склад;19.05.2011
Установка для автоматизированной дезинфекции гибких эндоскопов Cleantop;УПК001945;УК Центральный склад;08.02.2010
Эвакуатор дыма Clian Vac (Клин Вак);УПК005901;УК Центральный склад;05.05.2012
Установка ультрозвуковая диагностическая медицинская Logiq Book XP с принадлежностями;УПК005761;УК Центральный склад;11.04.2012
Эвакуатор дыма Clian Vac (Клин Вак);УПК005899;УК Центральный склад;05.05.2012
Эвакуатор дыма Clian Vac (Клин Вак);УПК005897;УК Центральный склад;05.05.2012
Мед.архив. (01.03.2024-01.10.2028) Арендованное нежилое помещение;БП-001385;Управляющая компания;01.05.2024
Склад. Арендованное нежилое помещение ;БП-000128;Управляющая компания;31.12.2021
Системный блок Hightech (i5-12400/MSI PRO H610M-G/DDR4 16GB/SSD М.2 256GB/mATX/300W/Wi Fi USB+K/M);БП-001541;УФА Администрация филиала;29.11.2024
Коммутатор Huawei S5720-28X-LI-AC(24 Ethernet 10/100/1000 ports,4 10 Gig SFP+,AC power support);БП-000476;УФА Группа ИТ;01.10.2022
Сервер Proliant DL380p Ланит;УПК007070;УФА Группа ИТ;06.11.2014
Маршрутизатор 20xGE FG-100E;УПК008397;УФА Группа ИТ;21.06.2021
Сервер IBMх3650М2 ХDP-2.26 3х2048/5х300;НСК000127;УФА Группа ИТ;04.11.2011
ИБП APC Smart-UPS SRT SRT5KRMXLI 4500Вт 5000ВА черный);УФА000248;УФА Группа ИТ;15.01.2019
Источник бесперебойного питания APC Smart-UPS SRT 5000 ВА, стоечного исполнения, 230 В;БП-000956;УФА Группа ИТ;24.01.2023
Маршрутизатор 20xGE FG-100E;УПК008396;УФА Группа ИТ;21.06.2021
Информационный терминал ИТ-И-9-19;УПК007389;УФА Группа ИТ;08.08.2016
Сервер IBMx3650M2 XDP-2.26 4x2048/2x300;УФА000096;УФА Группа ИТ;19.05.2011
"Сервер ""Proliant DL380 Gen9 E5-2620v3(2U)(752688-B21)""";УПК007355;УФА Группа ИТ;26.05.2016
ИБП APC Smart-UPS SRT SRT5KRMXLI 4500Вт 5000ВА черный);УФА000249;УФА Группа ИТ;15.01.2019
Сервер Proliant DL380p Ланит;УПК007066;УФА Группа ИТ;28.10.2014
Сервер IBMx3630M3 2хXenon E5506 QC 2x4Gb 4x2TbHS SAS HDD512Mb;УФА000191;УФА Группа ИТ;16.04.2012
Регистратор цифровой для холтеровского мониторинга SEER  Light с принадлежностями;УПК006616;УФА Лечебно-диагностическое отделение;04.09.2015
Машина для проявления медицинских рентгеновских пленок модели MedicalFilm Processor SRX-101A;УФА000046;УФА Лечебно-диагностическое отделение;30.08.2011
Аппарат физиотерапевтический ФИЗИОСОН-Эксперт в стандартной комплектации;УФА000242;УФА Лечебно-диагностическое отделение;16.05.2018
Кассета и пластина REGIUS в сборе для систем компьютерной радиографии, 14х17дюймов (35х43см);УПК008308;УФА Лечебно-диагностическое отделение;15.12.2020
Аппарат физиотерапевтический ФИЗИОМЕД-Эксперт (с принадл.) для терапии стимулирующим током;УПК006376;УФА Лечебно-диагностическое отделение;10.06.2013
"Аппарат физиотерапевтический  ДМВ-20-1 ""Ранет""";УПК006369;УФА Лечебно-диагностическое отделение;25.06.2013
Аппарат рентгеновский дентальный Expert DC;УФА000023;УФА Лечебно-диагностическое отделение;30.08.2011
Аппарат рентгеновский панорамный стоматологический Orthoralix 9200 DDE Plus;УФА000024;УФА Лечебно-диагностическое отделение;30.08.2011
Монитор 24 часовой регистрации АД пациента носимый Tonoport V;УФА000244;УФА Лечебно-диагностическое отделение;16.11.2018
Аппарат физиотерапевтический ЛИМФАВИЖИН-Эксперт  в стандартной комплектации;УФА000026;УФА Лечебно-диагностическое отделение;30.08.2011
Аппарат физиотерапевтический ФИЗИОМЕД-Эксперт;УФА000027;УФА Лечебно-диагностическое отделение;30.08.2011
"Электрокардиограф многоканальный с автоматическим режимом переносной ЭК12ТМ модель ""Альтон-106""";БП-000201;УФА Лечебно-диагностическое отделение;18.05.2022
Монитор 24 часовой регистрации АД пациента носимый Tonoport V;УФА000245;УФА Лечебно-диагностическое отделение;16.11.2018
Велоэргометр для проведения нагрузочных тестов e-Bike с принадлежностями;УФА000030;УФА Лечебно-диагностическое отделение;30.08.2011
Монитор 24 часовой регистрации АД пациента носимый Tonoport V;УФА000246;УФА Лечебно-диагностическое отделение;16.11.2018
"Аппарат магнитотерапевтический ""ПОЛИМАГ-02М""по ГИКС 941519.115ТУ с принадлежностями";БП-000867;УФА Лечебно-диагностическое отделение;23.11.2022
Кассета и пластина REGIUS в сборе для систем компьютерной радиографии, 14х17дюймов (35х43см);УПК008240;УФА Лечебно-диагностическое отделение;15.10.2020
Регистратор цифровой для холтеровского мониторинга SEER 12 с принадлежностями;БП-001039;УФА Лечебно-диагностическое отделение;15.05.2023
Регистратор цифровой для холтеровского мониторинга SEER 12 с принадлежностями;БП-001038;УФА Лечебно-диагностическое отделение;15.05.2023
Регистратор цифровой для холтеровского мониторинга SEER 12 с принадлежностями;БП-001037;УФА Лечебно-диагностическое отделение;15.05.2023
"Система функциональной диагностики, нагрузочных тестов ""CARDIO SOFT"" ";УФА000031;УФА Лечебно-диагностическое отделение;30.08.2011
Регистратор цифровой для холтеровского мониторинга SEER 12 с принадлежностями;БП-001036;УФА Лечебно-диагностическое отделение;15.05.2023
Система ультрозвуковая диагностическая медицинская LOGIO, модель Р5 с принадлежносями;УФА000082;УФА Лечебно-диагностическое отделение;30.08.2011
Рабочая станция для рентгена на базе USN BUSINESS 505 Intel Dual Core E5200 и гр.карты Nvidia Quadro;УФА000181;УФА Лечебно-диагностическое отделение;01.11.2011
Регистратор цифровой для холтеровского мониторинга SEER 12 с принадлежностями;БП-001035;УФА Лечебно-диагностическое отделение;15.05.2023
Камера лазерная мультиформатная медицинская DRYPRO МОДЕЛЬ 873  с принадлежностями;УФА000045;УФА Лечебно-диагностическое отделение;30.08.2011
Датчик M5S-D;УПК007764;УФА Лечебно-диагностическое отделение;08.04.2019
Датчик УЗИ Collector Probe 4C, 2401359;БП-001187;УФА Лечебно-диагностическое отделение;03.10.2023
Система мониторирования ЭКГ MARS с принадлежностями;УФА000091;УФА Лечебно-диагностическое отделение;30.08.2011
Комплекс компьютерный многофункциональный для исслед. ЭЭГ, ВП и ЭМГ Нейрон-Спектр-4/ВПМ;УПК006562;УФА Лечебно-диагностическое отделение;28.08.2013
Визиограф стоматологический GXS-700 с принадлежностями;УПК006565;УФА Лечебно-диагностическое отделение;04.09.2015
Система ультразвуковая диагностическая медицинская HS50-RUS;БП-001430;УФА Лечебно-диагностическое отделение;18.09.2024
Система компьютерной радиографии REGIUS МОДЕЛЬ 210  (DIRECT DIGITIZER ) с принадлежностями;УФА000047;УФА Лечебно-диагностическое отделение;30.08.2011
Дефибриллятор BeneHeart C2 с принадлежностями;БП-001501;УФА Лечебно-диагностическое отделение;23.10.2024
Система ультразвуковая диагностическая с принадлежностями LOGIQ S8;УФА000207;УФА Лечебно-диагностическое отделение;18.12.2013
Система дистанционно-управляемая рентгенодиагностическая Precision RXI с принадлежностями ;УФА000072;УФА Лечебно-диагностическое отделение;30.08.2011
Комплекс компьютерный многофункциональный для исслед. ЭМГ, ВП и ЭРГ и ОАЭ Нейро-МВП-В;УФА000202;УФА Лечебно-диагностическое отделение;27.09.2012
Кресло медицинское LOJER 6801 с принадлежностями;УПК007233;УФА Лечебно-диагностическое отделение;05.09.2015
Установка маммогрфическая Alpha ST с принадлежностями ;УФА000073;УФА Лечебно-диагностическое отделение;19.05.2011
Рентгенографическая система Proteus XR/a с принадлежностями;УФА000074;УФА Лечебно-диагностическое отделение;30.08.2011
"Моноблок NERPA SAIMAA I242-124G (I242-124G162600W_3Y) (23.8"" IPS/1920x1080/Intel Core i5-12400 (2.5G";БП-001467;УФА Регистратура;21.10.2024
"Моноблок NERPA SAIMAA I242-124G (I242-124G162600W_3Y) (23.8"" IPS/1920x1080/Intel Core i5-12400 (2.5G";БП-001466;УФА Регистратура;21.10.2024
"Моноблок NERPA SAIMAA I242-124G (I242-124G162600W_3Y) (23.8"" IPS/1920x1080/Intel Core i5-12400 (2.5G";БП-001465;УФА Регистратура;21.10.2024
"Моноблок NERPA SAIMAA I242-124G (I242-124G162600W_3Y) (23.8"" IPS/1920x1080/Intel Core i5-12400 (2.5G";БП-001464;УФА Регистратура;21.10.2024
"Моноблок NERPA SAIMAA I242-124G (I242-124G162600W_3Y) (23.8"" IPS/1920x1080/Intel Core i5-12400 (2.5G";БП-001463;УФА Регистратура;21.10.2024
"Прибор у/з ""Комплексмед"" 4.1 Сканер ультразвуковой для носовых пазух (эхосинускоп)";УПК007730;УФА Склад старшей сестры;19.02.2019
Дефибрилятор CardioServ с принадлежностями;УФА000032;УФА Склад старшей сестры;30.08.2011
Регистратор цифровой для холтеровского мониторинга SEER  Light с принадлежностями;УПК006618;УФА Склад старшей сестры;30.04.2013
"Аппарат ВТ-02-1-""Вибротестер-МБН""";УФА000103;УФА Склад старшей сестры;30.12.2011
Эндоскоп-ларингоскоп для Atmos 90 град. диам.10мм,длина 174мм;УФА000226;УФА Склад старшей сестры;20.09.2016
Насос жидкостной типа HPS (эндоирригатор для ирригации и аспирации жидкости);УФА000172;УФА Склад старшей сестры;01.07.2011
Эндоскоп для Atmos 2,7мм, 30 град., 110мм;УФА000224;УФА Склад старшей сестры;20.09.2016
Насос жидкостной типа HPS (эндоирригатор для ирригации и аспирации жидкости);УФА000173;УФА Склад старшей сестры;30.08.2011
Эндоскоп для Atmos 4мм, 0 град., 50мм;УФА000225;УФА Склад старшей сестры;20.09.2016
Аппарат физиотерапевтический ХИВАМАТ 200 в стандартной комплектации;УФА000029;УФА Склад старшей сестры;30.08.2011
Аппарат радиовизиографический SnapShot c №1;УФА000174;УФА Склад старшей сестры;30.08.2011
Трубка оптическая 2,7мм 30град, 302мм автоклавируемая;УФА000118;УФА Склад старшей сестры;19.05.2011
Аппарат лазерный стомат. Doctor Smile, модель D5 (диодный);УФА000238;УФА Стоматологическое отделение;19.03.2018
Установка стоматологическая СТАНДАРТНАЯ LINEA ESSE;БП-001058;УФА Стоматологическое отделение;31.05.2023
Установка стомат. LINEA ESSE (оранжевый) OMS Италия;УФА000010;УФА Стоматологическое отделение;20.05.2011
Установка стоматологическая СТАНДАРТНАЯ LINEA ESSE Plus;БП-001199;УФА Стоматологическое отделение;22.11.2023
Аппарат QUATTROcare 2124 по уходу за стомат. инструментами;БП-001212;УФА Стоматологическое отделение;25.12.2023
Дефибриллятор BeneHeart C2 с принадлежностями;БП-001503;УФА Стоматологическое отделение;23.10.2024
Аппарат ультразвуковой пародонтологический Vector Paro с наконечником Paro ll;УФА000237;УФА Стоматологическое отделение;19.03.2018
Установка стомат. LINEA ESSE (оранжевый) OMS Италия;УФА000011;УФА Стоматологическое отделение;20.05.2011
Анализатор биоимпедансометрии состава теля ABC-02 Медасс (ABC-0362 расширен. версия);УПК007731;УФА Терапевтическое отделение;19.02.2019
